scheme_code,scheme_name,isin_growth,isin_reinvestment,fund_house,category,sub_category,risk_grade
149355,Tata Corporate Bond Fund-Direct Plan-IDCW Periodic Payout,INF277KA1232,-,Tata Mutual Fund,Debt Scheme,Corporate Bond Fund,Low to Moderate
149356,Tata Corporate Bond Fund-Direct Plan-IDCW Periodic Reinvestment,-,INF277KA1265,Tata Mutual Fund,Debt Scheme,Corporate Bond Fund,Low to Moderate
149362,Tata Corporate Bond Fund-Direct Plan-IDCW Quarterly Payout,INF277KA1257,-,Tata Mutual Fund,Debt Scheme,Corporate Bond Fund,Low to Moderate
149358,Tata Corporate Bond Fund-Direct Plan-IDCW Quarterly Reinvestment,-,INF277KA1281,Tata Mutual Fund,Debt Scheme,Corporate Bond Fund,Low to Moderate
149351,Tata Corporate Bond Fund-Regular Plan-Growth,INF277KA1299,-,Tata Mutual Fund,Debt Scheme,Corporate Bond Fund,Low to Moderate
149353,Tata Corporate Bond Fund-Regular Plan-IDCW Monthly Payout,INF277KA1315,-,Tata Mutual Fund,Debt Scheme,Corporate Bond Fund,Low to Moderate
149363,Tata Corporate Bond Fund-Regular Plan-IDCW Monthly Reinvestment,-,INF277KA1349,Tata Mutual Fund,Debt Scheme,Corporate Bond Fund,Low to Moderate
149360,Tata Corporate Bond Fund-Regular Plan-IDCW Periodic Payout,INF277KA1307,-,Tata Mutual Fund,Debt Scheme,Corporate Bond Fund,Low to Moderate
149352,Tata Corporate Bond Fund-Regular Plan-IDCW Periodic Reinvestment,-,INF277KA1331,Tata Mutual Fund,Debt Scheme,Corporate Bond Fund,Low to Moderate
149354,Tata Corporate Bond Fund-Regular Plan-IDCW Quarterly Payout,INF277KA1323,-,Tata Mutual Fund,Debt Scheme,Corporate Bond Fund,Low to Moderate
149359,Tata Corporate Bond Fund-Regular Plan-IDCW Quarterly Reinvestment,-,INF277KA1356,Tata Mutual Fund,Debt Scheme,Corporate Bond Fund,Low to Moderate
151320,TRUSTMF CORPORATE BOND FUND-DIRECT PLAN-GROWTH,INF0GCD01560,-,Trust Mutual Fund,Debt Scheme,Corporate Bond Fund,Low to Moderate
151321,TRUSTMF CORPORATE BOND FUND-DIRECT PLAN-MONTHLY IDCW,INF0GCD01586,INF0GCD01578,Trust Mutual Fund,Debt Scheme,Corporate Bond Fund,Low to Moderate
151322,TRUSTMF CORPORATE BOND FUND-REGULAR PLAN-GROWTH,INF0GCD01537,-,Trust Mutual Fund,Debt Scheme,Corporate Bond Fund,Low to Moderate
151319,TRUSTMF CORPORATE BOND FUND-REGULAR PLAN-MONTHLY IDCW,INF0GCD01552,INF0GCD01545,Trust Mutual Fund,Debt Scheme,Corporate Bond Fund,Low to Moderate
143241,Union Corporate Bond Fund - Direct Plan - Growth Option,INF582M01DU5,-,Union Mutual Fund,Debt Scheme,Corporate Bond Fund,Low to Moderate
143242,Union Corporate Bond Fund - Direct Plan - IDCW Option,INF582M01DW1,INF582M01DV3,Union Mutual Fund,Debt Scheme,Corporate Bond Fund,Low to Moderate
143239,Union Corporate Bond Fund - Regular Plan - Growth Option,INF582M01DY7,-,Union Mutual Fund,Debt Scheme,Corporate Bond Fund,Low to Moderate
143240,Union Corporate Bond Fund - Regular Plan - IDCW Option,INF582M01EA5,INF582M01DZ4,Union Mutual Fund,Debt Scheme,Corporate Bond Fund,Low to Moderate
148085,UTI - Bond Fund ( Segregated - 17022020) - Regular Plan - Growth Option,INF789F1AOW2,-,UTI Mutual Fund,Debt Scheme,Corporate Bond Fund,Low to Moderate
148086,UTI - Bond Fund (Segregated - 17022020) - Direct Plan - Growth Option,INF789F1APF4,-,UTI Mutual Fund,Debt Scheme,Corporate Bond Fund,Low to Moderate
148076,UTI Bond Fund ( Segregated - 17022020) - Direct Plan - Annual IDCW,INF789F1APK4,INF789F1APL2,UTI Mutual Fund,Debt Scheme,Corporate Bond Fund,Low to Moderate
148090,UTI Bond Fund ( Segregated - 17022020) - Direct Plan - Flexi IDCW,INF789F1APM0,INF789F1APN8,UTI Mutual Fund,Debt Scheme,Corporate Bond Fund,Low to Moderate
148091,UTI Bond Fund ( Segregated - 17022020) - Direct Plan - Half-Yearly IDCW,INF789F1API8,INF789F1APJ6,UTI Mutual Fund,Debt Scheme,Corporate Bond Fund,Low to Moderate
148092,UTI Bond Fund ( Segregated - 17022020) - Direct Plan - Quarterly IDCW,INF789F1APG2,INF789F1APH0,UTI Mutual Fund,Debt Scheme,Corporate Bond Fund,Low to Moderate
148075,UTI Bond Fund ( Segregated - 17022020) - Regular Plan - Annual IDCW,INF789F1APB3,INF789F1APC1,UTI Mutual Fund,Debt Scheme,Corporate Bond Fund,Low to Moderate
148088,UTI Bond Fund ( Segregated - 17022020) - Regular Plan - Flexi IDCW,INF789F1APD9,INF789F1APE7,UTI Mutual Fund,Debt Scheme,Corporate Bond Fund,Low to Moderate
148087,UTI Bond Fund ( Segregated - 17022020) - Regular Plan - Half-Yearly IDCW,INF789F1AOZ5,INF789F1APA5,UTI Mutual Fund,Debt Scheme,Corporate Bond Fund,Low to Moderate
148089,UTI Bond Fund ( Segregated - 17022020) - Regular Plan - Quarterly IDCW,INF789F1AOX0,INF789F1AOY8,UTI Mutual Fund,Debt Scheme,Corporate Bond Fund,Low to Moderate
144344,UTI Corporate Bond Fund - Direct Plan - Annual IDCW,INF789F1A587,INF789F1A595,UTI Mutual Fund,Debt Scheme,Corporate Bond Fund,Low to Moderate
144341,UTI Corporate Bond Fund - Direct Plan - Flexi IDCW,INF789F1A603,INF789F1A611,UTI Mutual Fund,Debt Scheme,Corporate Bond Fund,Low to Moderate
144339,UTI Corporate Bond Fund - Direct Plan - Growth Option,INF789F1A538,-,UTI Mutual Fund,Debt Scheme,Corporate Bond Fund,Low to Moderate
144340,UTI Corporate Bond Fund - Direct Plan - Half-Yearly IDCW,INF789F1A561,INF789F1A579,UTI Mutual Fund,Debt Scheme,Corporate Bond Fund,Low to Moderate
144346,UTI Corporate Bond Fund - Direct Plan - Quarterly IDCW,INF789F1A546,INF789F1A553,UTI Mutual Fund,Debt Scheme,Corporate Bond Fund,Low to Moderate
144337,UTI Corporate Bond Fund - Regular Plan - Annual IDCW,INF789F1A496,INF789F1A504,UTI Mutual Fund,Debt Scheme,Corporate Bond Fund,Low to Moderate
144338,UTI Corporate Bond Fund - Regular Plan - Flexi IDCW,INF789F1A512,INF789F1A520,UTI Mutual Fund,Debt Scheme,Corporate Bond Fund,Low to Moderate
144345,UTI Corporate Bond Fund - Regular Plan - Growth Option,INF789F1A447,-,UTI Mutual Fund,Debt Scheme,Corporate Bond Fund,Low to Moderate
144343,UTI Corporate Bond Fund - Regular Plan - Half-Yearly IDCW,INF789F1A470,INF789F1A488,UTI Mutual Fund,Debt Scheme,Corporate Bond Fund,Low to Moderate
144342,UTI Corporate Bond Fund - Regular Plan - Quarterly IDCW,INF789F1A454,INF789F1A462,UTI Mutual Fund,Debt Scheme,Corporate Bond Fund,Low to Moderate
134385,Aditya Birla Sun Life Credit Risk Fund - Direct - IDCW,INF209KA1K96,INF209KA1L04,Aditya Birla Sun Life Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
134388,Aditya Birla Sun Life Credit Risk Fund - Direct Plan - Bonus,INF209KA1L12,-,Aditya Birla Sun Life Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
134387,Aditya Birla Sun Life Credit Risk Fund - Direct Plan - Growth,INF209KA1K88,-,Aditya Birla Sun Life Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
134386,Aditya Birla Sun Life Credit Risk Fund - Regular - IDCW,INF209KA1K54,INF209KA1K62,Aditya Birla Sun Life Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
134384,Aditya Birla Sun Life Credit Risk Fund - Regular Plan - Bonus,INF209KA1K70,-,Aditya Birla Sun Life Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
134383,Aditya Birla Sun Life Credit Risk Fund - Regular Plan - Growth,INF209KA1K47,-,Aditya Birla Sun Life Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
130314,Axis Credit Risk Fund - Direct Plan - Growth,INF846K01PJ5,-,Axis Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
130312,Axis Credit Risk Fund - Direct Plan - Monthly IDCW,INF846K01PM9,INF846K01PN7,Axis Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
130311,Axis Credit Risk Fund - Direct Plan - Weekly IDCW,INF846K01PK3,INF846K01PL1,Axis Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
130309,Axis Credit Risk Fund - Regular Plan - Growth,INF846K01PO5,-,Axis Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
130313,Axis Credit Risk Fund - Regular Plan - Monthly IDCW,INF846K01PR8,INF846K01PS6,Axis Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
130310,Axis Credit Risk Fund - Regular Plan - Weekly IDCW,INF846K01PP2,INF846K01PQ0,Axis Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
140605,BANDHAN CREDIT RISK FUND - DIRECT PLAN HALF YEARLY IDCW,INF194KA1X04,INF194KA1X12,Bandhan Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
140608,BANDHAN Credit Risk Fund - Regular Plan Annual IDCW,INF194KA1W05,INF194KA1W13,Bandhan Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
140609,BANDHAN Credit Risk Fund - Regular Plan Growth,INF194KA1W39,-,Bandhan Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
140611,BANDHAN Credit Risk Fund - Regular Plan Half Yearly IDCW,INF194KA1V71,INF194KA1V89,Bandhan Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
140612,BANDHAN Credit Risk Fund - Regular Plan Periodic IDCW,INF194KA1V14,INF194KA1V22,Bandhan Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
140607,BANDHAN Credit Risk Fund - Regular Plan Quarterly IDCW,INF194KA1V48,INF194KA1V55,Bandhan Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
140610,BANDHAN Credit Risk Fund-Direct Plan-Annual IDCW,INF194KA1X38,INF194KA1X46,Bandhan Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
140603,BANDHAN Credit Risk Fund-Direct Plan-Growth,INF194KA1X61,-,Bandhan Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
140606,BANDHAN Credit Risk Fund-Direct Plan-Periodic IDCW,INF194KA1W47,INF194KA1W54,Bandhan Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
140604,BANDHAN Credit Risk Fund-Direct Plan-Quarterly IDCW,INF194KA1W70,INF194KA1W88,Bandhan Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
133868,BANK OF INDIA Credit Risk  Fund - Direct Plan,INF761K01DG8,-,Bank of India Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
133867,BANK OF INDIA Credit Risk Fund - Regular Plan,INF761K01DH6,-,Bank of India Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
152903,Baroda BNP Paribas Credit Risk fund - Regular-Quarterly- IDCW option -Seg. Portfolio 2 (erstwhile BBNPP Medium Duration Fund Regular-Quarterly IDCW option Seg. Portfolio 1),INF955L01IZ3,INF955L01JA4,Baroda BNP Paribas Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
152905,Baroda BNP Paribas Credit Risk fund - Regular-Weekly-IDCW option -Seg. Portfolio 2 (erstwhile BBNPP Medium Duration Fund Regular-Weekly IDCW option Seg. Portfolio 1),-,INF955L01JE6,Baroda BNP Paribas Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
152892,Baroda BNP Paribas Credit risk fund -Defunct -Growth option -Seg-Portfolio 2 (erstwhile BBNPP Medium Duration Fund-Defunct Growth Option Seg.Portfolio1),INF955L01JM9,-,Baroda BNP Paribas Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
152899,Baroda BNP Paribas Credit Risk fund -Defunct -Monthly IDCW option -Seg. Portfolio 2 (erstwhile BBNPP Medium Duration Fund Defunct-Monthly IDCW option Seg. Portfolio 1),INF955L01JP2,INF955L01JQ0,Baroda BNP Paribas Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
152894,Baroda BNP Paribas Credit Risk fund -Defunct -Weekly IDCW option -Seg. Portfolio 2 (erstwhile BBNPP Medium Duration Fund Defunct-Weekly IDCW option Seg. Portfolio 1),-,INF955L01JO5,Baroda BNP Paribas Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
152898,Baroda BNP Paribas Credit Risk fund -Direct - Growth option -Seg. Portfolio 2 (erstwhile BBNPP Medium Duration Fund Direct-Growth option Seg. Portfolio 1),INF955L01JF3,-,Baroda BNP Paribas Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
152897,Baroda BNP Paribas Credit Risk fund -Direct -Monthly IDCW option -Seg. Portfolio 2 (erstwhile BBNPP Medium Duration Fund Direct-Monthly IDCW option Seg. Portfolio 1),-,INF955L01JJ5,Baroda BNP Paribas Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
152896,Baroda BNP Paribas Credit Risk fund -Direct -Quarterly IDCW option -Seg. Portfolio 2 (erstwhile BBNPP Medium Duration Fund Direct-Quarterly IDCW option Seg. Portfolio 1),INF955L01JG1,INF955L01JH9,Baroda BNP Paribas Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
152895,Baroda BNP Paribas Credit Risk fund -Direct -Weekly IDCW option -Seg. Portfolio 2 (erstwhile BBNPP Medium Duration Fund Direct-weekly IDCW option Seg. Portfolio 1),-,INF955L01JL1,Baroda BNP Paribas Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
133520,Baroda BNP Paribas Credit Risk Fund -Direct- Monthly IDCW,INF955L01FZ9,-,Baroda BNP Paribas Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
133524,Baroda BNP Paribas Credit Risk Fund -Direct- Quarterly IDCW,INF955L01GA0,-,Baroda BNP Paribas Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
152900,Baroda BNP Paribas Credit Risk fund -Direct-Daily IDCW option -Seg. Portfolio 2 (erstwhile BBNPP Medium Duration Fund Direct-daily-IDCW option Seg. Portfolio 1),INF955L01JI7,INF955L01JK3,Baroda BNP Paribas Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
133488,Baroda BNP Paribas Credit Risk Fund -Direct-Growth Option,INF955L01FR6,-,Baroda BNP Paribas Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
152901,Baroda BNP Paribas Credit Risk fund -Regular -Daily-IDCW option -Seg. Portfolio 2 (erstwhile BBNPP Medium Duration Fund Regular-Daily-IDCW option Seg. Portfolio 1),-,INF955L01JD8,Baroda BNP Paribas Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
152902,Baroda BNP Paribas Credit Risk fund -Regular -Monthly IDCW option -Seg. Portfolio 2 (erstwhile BBNPP Medium Duration Fund Regular-Monthly IDCW option Seg. Portfolio 1),INF955L01JB2,INF955L01JC0,Baroda BNP Paribas Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
152904,Baroda BNP Paribas Credit Risk fund -Regular-Growth -Seg. Portfolio 2 (erstwhile BBNPP Medium Duration Fund Regular Growth Seg. Portfolio 1),INF955L01IY6,-,Baroda BNP Paribas Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
133486,Baroda BNP Paribas Credit Risk Fund -Regular-Growth Option,INF955L01FP0,-,Baroda BNP Paribas Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
133517,Baroda BNP Paribas Credit Risk Fund -Regular-Monthly IDCW,INF955L01FU0,-,Baroda BNP Paribas Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
133518,Baroda BNP Paribas Credit Risk Fund -Regular-Quarterly IDCW,INF955L01FV8,-,Baroda BNP Paribas Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
148350,Baroda BNP Paribas Credit Risk Fund- Direct - Bonus Option- Segregated Portfolio- 1,-,-,Baroda BNP Paribas Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
148333,Baroda BNP Paribas Credit Risk Fund- Direct- Growth Option- Segregated Portfolio- 1,INF955L01IT6,-,Baroda BNP Paribas Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
148334,Baroda BNP Paribas Credit Risk Fund- Direct- Monthly IDCW Option- Segregated Portfolio- 1,INF955L01IW0,INF955L01IX8,Baroda BNP Paribas Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
148349,Baroda BNP Paribas Credit Risk Fund- Regular- Bonus Option- Segregated Portfolio- 1,-,-,Baroda BNP Paribas Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
148330,Baroda BNP Paribas Credit Risk Fund- Regular- Growth Option- Segregated Portfolio- 1,INF955L01IO7,-,Baroda BNP Paribas Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
148331,Baroda BNP Paribas Credit Risk Fund- Regular- Monthly IDCW Option- Segregated Portfolio- 1,INF955L01IR0,INF955L01IS8,Baroda BNP Paribas Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
148332,Baroda BNP Paribas Credit Risk Fund- Regular- Quarterly IDCW Option- Segregated Portfolio- 1,INF955L01IP4,INF955L01IQ2,Baroda BNP Paribas Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
152893,Baroda BNP Paribas Credit Risk Fund-Defunct -Daily IDCW option - seg Portfolio 2 (erstwhile BBNPP Medium Duration fund Defunct Daily IDCW daily option Seg Portfolio 1),-,INF955L01JN7,Baroda BNP Paribas Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
148335,Baroda BNP Paribas Credit Risk Fund-Direct- Quarterly IDCW Option- Segregated Portfolio- 1,INF955L01IU4,INF955L01IV2,Baroda BNP Paribas Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
119084,DSP Credit Risk Fund - Direct Plan -  IDCW - Monthly,INF740K01OV8,INF740K01OW6,DSP Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
119082,DSP Credit Risk Fund - Direct Plan - Growth,INF740K01OS4,-,DSP Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
119083,DSP Credit Risk Fund - Direct Plan - IDCW,INF740K01OT2,INF740K01OU0,DSP Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
119087,DSP Credit Risk Fund - Direct Plan - IDCW - Daily,-,INF740KA1NX2,DSP Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
119085,DSP Credit Risk Fund - Direct Plan - IDCW - Quarterly,INF740K01OX4,INF740K01OY2,DSP Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
119086,DSP Credit Risk Fund - Direct Plan - IDCW - Weekly,INF740KA1NY0,INF740KA1NZ7,DSP Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
101839,DSP Credit Risk Fund - Regular Plan - IDCW,INF740K01581,INF740K01AB9,DSP Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
101840,DSP Credit Risk Fund - Regular Plan - IDCW - Daily,-,INF740KA1OA8,DSP Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
117061,DSP Credit Risk Fund - Regular Plan - IDCW - Monthly,INF740K01JW6,INF740K01JV8,DSP Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
117062,DSP Credit Risk Fund - Regular Plan - IDCW - Quarterly,INF740K01JY2,INF740K01JX4,DSP Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
101838,DSP Credit Risk Fund - Regular Plan - IDCW - Weekly,INF740K01FR4,INF740K01FQ6,DSP Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
101837,DSP Credit Risk Fund - Regular Plan -Growth,INF740K01599,-,DSP Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
118553,Franklin India Credit Risk Fund - Direct - Growth,INF090I01JL3,-,Franklin Templeton Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
118552,Franklin India Credit Risk Fund - Direct - IDCW,INF090I01JJ7,INF090I01JK5,Franklin Templeton Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
116153,Franklin India Credit Risk Fund - Growth,INF090I01ET7,-,Franklin Templeton Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
116154,Franklin India Credit Risk Fund - IDCW,INF090I01ES9,INF090I01ER1,Franklin Templeton Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
148304,Franklin India Credit Risk Fund - Segregated Portfolio 3 (9.50% Yes bank Ltd CO 23Dec21) - Direct Growth Plan,INF090I01VZ8,-,Franklin Templeton Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
148303,Franklin India Credit Risk Fund - Segregated Portfolio 3 (9.50% Yes Bank Ltd CO 23Dec21) - Growth Plan,INF090I01VX3,-,Franklin Templeton Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
147956,Franklin India Credit Risk Fund- Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Direct-Dividend Plan,INF090I01TK4,-,Franklin Templeton Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
147955,Franklin India Credit Risk Fund- Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Direct-Growth Plan,INF090I01TL2,-,Franklin Templeton Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
147957,Franklin India Credit Risk Fund- Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Dividend Plan,INF090I01TI8,-,Franklin Templeton Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
147954,Franklin India Credit Risk Fund- Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Growth Plan,INF090I01TJ6,-,Franklin Templeton Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
147959,Franklin India Credit Risk Fund- Segregated Portfolio 2 - 10.90% Vodafone Idea Ltd (02-Sep-2023) - IDCW,INF090I01TM0,-,Franklin Templeton Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
147958,Franklin India Credit Risk Fund- Segregated Portfolio 2- 10.90% Vodafone Idea Ltd 02Sep2023-Direct Growth Plan,INF090I01TP3,-,Franklin Templeton Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
147961,Franklin India Credit Risk Fund- Segregated Portfolio 2- 10.90% Vodafone Idea Ltd 02Sep2023-Growth Plan,INF090I01TN8,-,Franklin Templeton Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
148305,Franklin India Credit Risk Fund- Segregated Portfolio 3 (9.50% Yes Bank Ltd CO 23Dec21) - IDCW,INF090I01VW5,-,Franklin Templeton Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
147960,Franklin India Credit Risk Fund-Segregated Portfolio 2 - 10.90% Vodafone Idea Ltd (02-Sep-2023) - Direct IDCW,INF090I01TO6,-,Franklin Templeton Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
148306,Franklin India Credit Risk Fund-Segregated Portfolio 3 (9.50% Yes Bank Ltd CO 23Dec21) - Direct IDCW,INF090I01VY1,-,Franklin Templeton Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
128053,HDFC Credit Risk Debt Fund - Growth Option,INF179KA1GC0,-,HDFC Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
128051,HDFC Credit Risk Debt Fund - Growth Option - Direct Plan,INF179KA1FZ3,-,HDFC Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
133148,HDFC Credit Risk Debt Fund - IDCW Option,INF179KA1I87,INF179KA1I79,HDFC Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
133147,HDFC Credit Risk Debt Fund - IDCW Option - Direct Plan,INF179KA1I61,INF179KA1I53,HDFC Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
128050,HDFC Credit Risk Debt Fund - Quarterly IDCW - Direct Plan,INF179KA1GA4,INF179KA1GB2,HDFC Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
128052,HDFC Credit Risk Debt Fund - Quarterly IDCW Option,INF179KA1GD8,INF179KA1GE6,HDFC Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
151047,HSBC Credit Risk Fund - Direct Annual IDCW,INF917K01UL0,INF917K01UK2,HSBC Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
151045,HSBC Credit Risk Fund - Direct Growth,INF917K01UH8,-,HSBC Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
151044,HSBC Credit Risk Fund - Direct IDCW,INF917K01E29,INF917K01UI6,HSBC Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
151046,HSBC Credit Risk Fund - Regular Annual IDCW,INF917K01UN6,INF917K01UM8,HSBC Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
151043,HSBC Credit Risk Fund - Regular Growth,INF917K01130,-,HSBC Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
151042,HSBC Credit Risk Fund - Regular IDCW,INF917K01114,INF917K01122,HSBC Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
151041,HSBC Credit Risk Fund- Regular Plan - Bonus,-,INF917K01CU9,HSBC Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
134342,ICICI Prudential Credit Risk Fund - Annual IDCW,INF109KB1AF0,INF109KB1AG8,ICICI Prudential Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
130943,ICICI Prudential Credit Risk Fund - Bonus,INF109KA1I27,-,ICICI Prudential Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
134341,ICICI Prudential Credit Risk Fund - Direct Plan - Annual IDCW,INF109KB1AD5,INF109KB1AE3,ICICI Prudential Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
120711,ICICI Prudential Credit Risk Fund - Direct Plan - Growth,INF109K01V00,-,ICICI Prudential Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
120710,ICICI Prudential Credit Risk Fund - Direct Plan - Half Yearly IDCW,INF109K01V18,INF109K01V26,ICICI Prudential Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
120709,ICICI Prudential Credit Risk Fund - Direct Plan - Quarterly IDCW,INF109K01V34,INF109K01V42,ICICI Prudential Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
130944,ICICI Prudential Credit Risk Fund - Direct Plan Bonus,INF109KA1I19,-,ICICI Prudential Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
114239,ICICI Prudential Credit Risk Fund - Growth,INF109K01GU4,-,ICICI Prudential Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
114241,ICICI Prudential Credit Risk Fund - Half Yearly IDCW,INF109K01GX8,INF109K01GY6,ICICI Prudential Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
114240,ICICI Prudential Credit Risk Fund - Quarterly IDCW,INF109K01GV2,INF109K01GW0,ICICI Prudential Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
130725,Invesco India Credit Risk Fund - Direct Plan - Discretionary IDCW (Payout / Reinvestment),INF205K01J09,INF205K01J25,Invesco Mutual Fund,Debt Scheme,Credit Risk Fund,Low to Moderate
